year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2013,1,1,517,2,830,11,UA,N14228,1545,EWR,IAH,227,1400,5,17
2013,1,1,533,4,850,20,UA,N24211,1714,LGA,IAH,227,1416,5,33
2013,1,1,542,2,923,33,AA,N619AA,1141,JFK,MIA,160,1089,5,42
2013,1,1,544,-1,1004,-18,B6,N804JB,725,JFK,BQN,183,1576,5,44
2013,1,1,554,-6,812,-25,DL,N668DN,461,LGA,ATL,116,762,6,54
2013,1,1,554,-4,740,12,UA,N39463,1696,EWR,ORD,150,719,6,54
2013,1,1,555,-5,913,19,B6,N516JB,507,EWR,FLL,158,1065,6,55
2013,1,1,557,-3,709,-14,EV,N829AS,5708,LGA,IAD,53,229,6,57
2013,1,1,557,-3,838,-8,B6,N593JB,79,JFK,MCO,140,944,6,57
2013,1,1,558,-2,753,8,AA,N3ALAA,301,LGA,ORD,138,733,6,58
2013,1,1,558,-2,849,-2,B6,N793JB,49,JFK,PBI,149,1028,6,58
2013,1,1,558,-2,853,-3,B6,N657JB,71,JFK,TPA,158,1005,6,58
2013,1,1,558,-2,924,7,UA,N29129,194,JFK,LAX,345,2475,6,58
2013,1,1,558,-2,923,-14,UA,N53441,1124,EWR,SFO,361,2565,6,58
2013,1,1,559,-1,941,31,AA,N3DUAA,707,LGA,DFW,257,1389,6,59
2013,1,1,559,0,702,-4,B6,N708JB,1806,JFK,BOS,44,187,6,59
2013,1,1,559,-1,854,-8,UA,N76515,1187,EWR,LAS,337,2227,6,59
2013,1,1,600,0,851,-7,B6,N595JB,371,LGA,FLL,152,1076,6,0
2013,1,1,600,0,837,12,MQ,N542MQ,4650,LGA,ATL,134,762,6,0
2013,1,1,601,1,844,-6,B6,N644JB,343,EWR,PBI,147,1023,6,1
2013,1,1,602,-8,812,-8,DL,N971DL,1919,LGA,MSP,170,1020,6,2
2013,1,1,602,-3,821,16,MQ,N730MQ,4401,LGA,DTW,105,502,6,2
2013,1,1,606,-4,858,-12,AA,N633AA,1895,EWR,MIA,152,1085,6,6
2013,1,1,606,-4,837,-8,DL,N3739P,1743,JFK,ATL,128,760,6,6
2013,1,1,607,0,858,-17,UA,N53442,1077,EWR,MIA,157,1085,6,7
2013,1,1,608,8,807,32,MQ,N9EAMQ,3768,EWR,ORD,139,719,6,8
2013,1,1,611,11,945,14,UA,N532UA,303,JFK,SFO,366,2586,6,11
2013,1,1,613,3,925,4,B6,N635JB,135,JFK,RSW,175,1074,6,13
2013,1,1,615,0,1039,-21,B6,N794JB,709,JFK,SJU,182,1598,6,15
2013,1,1,615,0,833,-9,DL,N326NB,575,EWR,ATL,120,746,6,15
2013,1,1,622,-8,1017,3,US,N807AW,245,EWR,PHX,342,2133,6,22
2013,1,1,623,13,920,5,AA,N3EMAA,1837,LGA,MIA,153,1096,6,23
2013,1,1,623,-4,933,1,UA,N459UA,496,LGA,IAH,229,1416,6,23
2013,1,1,624,-6,909,29,EV,N11107,4626,EWR,MSP,190,1008,6,24
2013,1,1,624,-6,840,10,MQ,N518MQ,4599,LGA,MSP,166,1020,6,24
2013,1,1,627,-3,1018,0,US,N535UW,27,JFK,PHX,330,2153,6,27
2013,1,1,628,-2,1137,-3,AA,N3BAAA,413,JFK,SJU,192,1598,6,28
2013,1,1,628,-2,1016,29,UA,N33289,1665,EWR,LAX,366,2454,6,28
2013,1,1,629,-1,824,14,AA,N3CYAA,303,LGA,ORD,140,733,6,29
2013,1,1,629,-1,721,-19,WN,N273WN,4646,LGA,BWI,40,185,6,29
2013,1,1,629,-1,824,-9,US,N426US,1019,EWR,CLT,91,529,6,29
2013,1,1,632,24,740,12,EV,N13553,4144,EWR,IAD,52,212,6,32
2013,1,1,635,0,1028,48,AA,N3GKAA,711,LGA,DFW,248,1389,6,35
2013,1,1,637,-8,930,-5,B6,N709JB,389,LGA,MCO,144,950,6,37
2013,1,1,639,-1,739,-10,B6,N805JB,1002,JFK,BOS,41,187,6,39
2013,1,1,643,-3,922,-18,UA,N497UA,556,EWR,PBI,146,1023,6,43
2013,1,1,643,-2,837,-11,US,N178US,926,EWR,CLT,91,529,6,43
2013,1,1,644,8,931,-9,UA,N75435,1701,EWR,FLL,151,1065,6,44
2013,1,1,645,-2,815,5,B6,N796JB,102,JFK,BUF,63,301,6,45
2013,1,1,646,1,910,-6,UA,N569UA,883,LGA,DEN,243,1620,6,46
2013,1,1,646,1,1023,-7,UA,N38727,1496,EWR,SNA,380,2434,6,46
2013,1,1,651,-4,936,-6,B6,N558JB,203,JFK,LAS,323,2248,7,51
2013,1,1,652,-3,932,11,B6,N178JB,117,JFK,MSY,191,1182,7,52
2013,1,1,653,-7,936,-33,DL,N327NW,1383,LGA,PBI,149,1035,7,53
2013,1,1,655,0,1021,-9,DL,N3763D,1415,JFK,SLC,294,1990,7,55
2013,1,1,655,-5,1037,-8,DL,N705TW,1865,JFK,SFO,362,2586,7,55
2013,1,1,655,-5,1002,-18,DL,N997DL,2003,LGA,MIA,161,1096,7,55
2013,1,1,656,-4,854,4,AA,N4WNAA,305,LGA,ORD,143,733,7,56
2013,1,1,656,-3,949,-10,AA,N5FMAA,1815,JFK,MCO,142,944,7,56
2013,1,1,656,-9,1007,27,MQ,N722MQ,4534,LGA,XNA,233,1147,7,56
2013,1,1,656,-4,948,-23,UA,N24212,1115,EWR,TPA,156,997,7,56
2013,1,1,657,-3,959,-14,DL,N318NB,1879,LGA,FLL,164,1076,7,57
2013,1,1,658,-2,944,5,DL,N6703D,1547,LGA,ATL,126,762,7,58
2013,1,1,658,-2,1027,2,VX,N627VA,399,JFK,LAX,361,2475,7,58
2013,1,1,659,-1,1008,-7,AA,N3EKAA,2279,LGA,MIA,159,1096,7,59
2013,1,1,659,-1,1008,1,B6,N646JB,981,JFK,FLL,156,1069,7,59
2013,1,1,659,-6,907,-6,DL,N998DL,831,LGA,DTW,105,502,7,59
2013,1,1,659,-1,959,-9,UA,N838UA,960,EWR,RSW,164,1068,7,59
2013,1,1,701,1,1123,-31,UA,N77296,1203,EWR,SJU,188,1608,7,1
2013,1,1,702,2,1058,44,B6,N779JB,671,JFK,LAX,381,2475,7,2
2013,1,1,709,9,852,20,UA,N26226,1092,LGA,ORD,135,733,7,9
2013,1,1,711,-4,1151,-15,B6,N651JB,715,JFK,SJU,190,1598,7,11
2013,1,1,712,-3,1023,-12,AA,N3ETAA,825,JFK,FLL,159,1069,7,12
2013,1,1,715,2,911,21,UA,N841UA,544,EWR,ORD,156,719,7,15
2013,1,1,717,-3,850,10,FL,N978AT,850,LGA,MKE,134,738,7,17
2013,1,1,719,-2,1017,5,B6,N562JB,987,JFK,MCO,147,944,7,19
2013,1,1,723,-2,1013,-4,UA,N514UA,962,EWR,PBI,153,1023,7,23
2013,1,1,724,-6,1111,31,AA,N541AA,715,LGA,DFW,254,1389,7,24
2013,1,1,724,-1,1020,-10,AS,N594AS,11,EWR,SEA,338,2402,7,24
2013,1,1,725,-5,1052,12,AA,N4WRAA,2083,EWR,DFW,238,1372,7,25
2013,1,1,727,-3,959,7,UA,N37462,1162,EWR,DEN,254,1605,7,27
2013,1,1,728,-4,1041,3,UA,N488UA,473,LGA,IAH,238,1416,7,28
2013,1,1,729,-1,1049,-26,VX,N635VA,11,JFK,SFO,356,2586,7,29
2013,1,1,732,-3,857,-1,B6,N304JB,20,JFK,ROC,64,264,7,32
2013,1,1,732,3,1041,2,B6,N563JB,1601,LGA,RSW,167,1080,7,32
2013,1,1,732,47,1011,30,UA,N37456,1111,EWR,MCO,145,937,7,32
2013,1,1,733,-3,854,4,B6,N552JB,44,JFK,SYR,54,209,7,33
2013,1,1,734,-3,1047,-26,B6,N625JB,643,JFK,SFO,350,2586,7,34
2013,1,1,739,-6,918,-12,AA,N4WPAA,309,LGA,ORD,137,733,7,39
2013,1,1,739,0,1104,26,UA,N37408,1479,EWR,IAH,249,1400,7,39
2013,1,1,741,-4,1038,2,B6,N633JB,983,LGA,TPA,158,1010,7,41
2013,1,1,743,13,1107,7,AA,N338AA,33,JFK,LAX,358,2475,7,43
2013,1,1,743,-6,1043,-11,B6,N624JB,341,JFK,SRQ,164,1041,7,43
2013,1,1,743,13,1059,3,DL,N3760C,495,JFK,SEA,349,2422,7,43
2013,1,1,745,0,1135,10,AA,N336AA,59,JFK,SFO,378,2586,7,45
2013,1,1,746,0,1119,-10,UA,N24224,1668,EWR,SFO,373,2565,7,46
2013,1,1,749,39,939,49,MQ,N508MQ,3737,EWR,ORD,148,719,7,49
2013,1,1,752,-3,1041,-18,DL,N325US,2263,LGA,MCO,140,950,8,52
2013,1,1,752,2,1025,-4,UA,N511UA,477,LGA,DEN,249,1620,8,52
2013,1,1,752,-7,955,-4,US,N543UW,1733,LGA,CLT,96,544,8,52
2013,1,1,753,-2,1056,-14,AA,N3HMAA,2267,LGA,MIA,157,1096,8,53
2013,1,1,754,-5,1039,-2,DL,N935DL,2047,LGA,ATL,126,762,8,54
2013,1,1,754,-1,1103,33,WN,N789SW,733,LGA,DEN,279,1620,8,54
2013,1,1,758,-2,1053,-1,B6,N645JB,517,EWR,MCO,142,937,8,58
2013,1,1,759,-1,1057,-30,DL,N955DL,1843,JFK,MIA,158,1089,8,59
2013,1,1,800,0,1022,8,DL,N317US,2119,LGA,MSP,171,1020,8,0
2013,1,1,800,-10,949,-6,MQ,N828MQ,4406,JFK,RDU,80,427,8,0
2013,1,1,801,-4,900,-19,B6,N206JB,1172,EWR,BOS,38,200,8,1
2013,1,1,803,-7,903,-22,AA,N3GEAA,1838,JFK,BOS,38,187,8,3
2013,1,1,803,3,1132,-12,UA,N510UA,223,JFK,SFO,369,2586,8,3
2013,1,1,804,-6,1103,-13,DL,N947DL,1959,JFK,MCO,147,944,8,4
2013,1,1,805,0,1015,10,B6,N273JB,219,JFK,CLT,98,541,8,5
2013,1,1,805,5,1118,12,B6,N570JB,3,JFK,FLL,165,1069,8,5
2013,1,1,805,-10,1006,-4,MQ,N739MQ,4490,LGA,CMH,101,479,8,5
2013,1,1,807,-3,1043,0,DL,N308DE,269,JFK,ATL,126,760,8,7
2013,1,1,809,-6,1043,-7,EV,N14542,4388,EWR,JAX,132,820,8,9
2013,1,1,810,0,1048,11,9E,N915XJ,3538,JFK,MSP,189,1029,8,10
2013,1,1,810,-5,1100,-28,DL,N349NW,2395,LGA,PBI,149,1035,8,10
2013,1,1,811,-4,1006,-26,EV,N11193,4260,EWR,CHS,101,628,8,11
2013,1,1,811,101,1047,137,MQ,N531MQ,4576,LGA,CLT,118,544,8,11
2013,1,1,811,-4,1026,10,US,N654AW,675,EWR,CLT,96,529,8,11
2013,1,1,812,-2,1040,23,EV,N17108,4537,EWR,MEM,180,946,8,12
2013,1,1,813,-2,1103,7,DL,N375NC,914,LGA,DEN,267,1620,8,13
2013,1,1,814,4,1047,17,FL,N977AT,346,LGA,ATL,132,762,8,14
2013,1,1,817,7,1005,17,B6,N228JB,1051,JFK,PIT,86,340,8,17
2013,1,1,820,0,1254,-16,B6,N527JB,717,JFK,SJU,190,1598,8,20
2013,1,1,820,-10,940,-14,DL,N324US,27,JFK,BOS,36,187,8,20
2013,1,1,820,0,1249,-40,DL,N900PC,301,JFK,SJU,182,1598,8,20
2013,1,1,821,1,1153,24,B6,N521JB,181,JFK,SAN,354,2446,8,21
2013,1,1,821,-4,932,-13,MQ,N846MQ,4418,JFK,DCA,52,213,8,21
2013,1,1,822,-8,1014,-2,EV,N12540,4104,LGA,CLE,91,419,8,22
2013,1,1,823,-2,1019,-5,US,N655AW,487,JFK,CLT,96,541,8,23
2013,1,1,823,0,1151,16,UA,N39728,1223,EWR,DFW,250,1372,8,23
2013,1,1,824,-6,1027,2,AA,N573AA,1855,LGA,STL,169,888,8,24
2013,1,1,825,-2,1058,-7,B6,N292JB,611,JFK,JAX,130,828,8,25
2013,1,1,826,71,1136,51,AA,N3GVAA,443,JFK,MIA,160,1089,8,26
2013,1,1,826,9,1145,-13,UA,N76522,1480,EWR,SFO,357,2565,8,26
2013,1,1,828,-2,1027,15,B6,N274JB,905,JFK,ORD,160,740,8,28
2013,1,1,828,5,1150,7,UA,N76528,1506,EWR,LAX,359,2454,8,28
2013,1,1,829,-1,1152,-8,UA,N554UA,443,JFK,LAX,360,2475,8,29
2013,1,1,829,-1,1117,-23,UA,N75425,1592,EWR,MCO,145,937,8,29
2013,1,1,830,0,1018,3,AA,N4YCAA,313,LGA,ORD,137,733,8,30
2013,1,1,830,-5,1052,-13,MQ,N513MQ,4610,LGA,ATL,123,762,8,30
2013,1,1,831,-4,1021,-18,EV,N13969,4412,EWR,MYR,92,550,8,31
2013,1,1,832,-8,1006,-24,MQ,N725MQ,4521,LGA,RDU,77,431,8,32
2013,1,1,833,-2,1134,32,F9,N203FR,835,LGA,DEN,257,1620,8,33
2013,1,1,835,0,1210,20,AA,N3BDAA,717,LGA,DFW,249,1389,8,35
2013,1,1,839,-11,1027,-8,MQ,N711MQ,4558,LGA,CLE,88,419,8,39
2013,1,1,840,-5,1311,-39,AA,N5FSAA,1357,JFK,SJU,188,1598,8,40
2013,1,1,840,-5,1053,-9,DL,N926DL,2304,JFK,DTW,108,509,8,40
2013,1,1,846,1,1138,-27,B6,N564JB,553,EWR,RSW,157,1068,8,46
2013,1,1,848,853,1001,851,MQ,N942MQ,3944,JFK,BWI,41,184,8,48
2013,1,1,848,-3,1155,19,UA,N27724,1741,EWR,JAC,275,1874,8,48
2013,1,1,851,0,1032,-4,EV,N19966,4548,EWR,RDU,75,416,9,51
2013,1,1,851,-8,1102,-3,DL,N361NB,869,EWR,DTW,106,488,9,51
2013,1,1,851,11,1215,9,UA,N39297,1626,EWR,SAN,367,2425,9,51
2013,1,1,852,-3,1046,26,WN,N777QC,3848,EWR,MDW,146,711,9,52
2013,1,1,853,8,1147,2,B6,N184JB,59,JFK,TPA,159,1005,9,53
2013,1,1,855,-4,1143,-2,DL,N646DL,1747,LGA,ATL,129,762,9,55
2013,1,1,856,-4,1226,6,AA,N324AA,1,JFK,LAX,358,2475,9,56
2013,1,1,856,-4,1222,-10,DL,N970DL,2143,LGA,MIA,158,1096,9,56
2013,1,1,856,1,1140,-23,UA,N75426,1296,EWR,PBI,150,1023,9,56
2013,1,1,857,-3,1516,-14,HA,N380HA,51,JFK,HNL,659,4983,9,57
2013,1,1,857,-8,1107,-13,DL,N321NB,181,LGA,DTW,110,502,9,57
2013,1,1,857,-3,1124,-9,DL,N371NB,485,EWR,ATL,125,746,9,57
2013,1,1,857,6,1157,-25,UA,N45440,1670,EWR,SEA,343,2402,9,57
2013,1,1,858,-2,1102,-8,MQ,N737MQ,4478,LGA,DTW,103,502,9,58
2013,1,1,859,-1,1140,-24,DL,N360NB,1885,LGA,MCO,140,950,9,59
2013,1,1,859,-1,1223,-2,VX,N846VA,407,JFK,LAX,359,2475,9,59
2013,1,1,900,0,1211,8,UA,N19130,1170,EWR,FLL,161,1065,9,0
2013,1,1,902,-1,1048,3,UA,N820UA,580,EWR,ORD,145,719,9,2
2013,1,1,903,43,1045,50,MQ,N532MQ,4655,LGA,BNA,142,764,9,3
2013,1,1,904,-2,1207,-19,UA,N77525,1401,EWR,MIA,158,1085,9,4
2013,1,1,905,0,1309,40,B6,N281JB,1061,JFK,AUS,263,1521,9,5
2013,1,1,906,23,1134,9,UA,N17139,1643,EWR,DEN,246,1605,9,6
2013,1,1,908,-2,1020,-7,B6,N203JB,56,JFK,BTV,52,266,9,8
2013,1,1,908,-7,1004,-29,US,N959UW,1467,LGA,PHL,32,96,9,8
2013,1,1,908,0,1228,9,UA,N12216,1220,EWR,IAH,233,1400,9,8
2013,1,1,909,59,1331,16,AA,N5EXAA,655,JFK,STT,184,1623,9,9
2013,1,1,912,12,1241,21,AA,N5CRAA,647,JFK,MIA,166,1089,9,12
2013,1,1,912,6,1219,-7,UA,N38403,1601,EWR,MIA,159,1085,9,12
2013,1,1,913,-5,1346,-30,UA,N24715,1519,EWR,STT,189,1634,9,13
2013,1,1,914,-6,1244,4,AA,N517AA,1589,EWR,DFW,238,1372,9,14
2013,1,1,914,14,1058,15,UA,N810UA,783,EWR,CLE,85,404,9,14
2013,1,1,917,-3,1313,28,AA,N596AA,721,LGA,DFW,258,1389,9,17
2013,1,1,917,2,1206,-5,B6,N568JB,41,JFK,MCO,145,944,9,17
2013,1,1,917,-3,1052,-16,B6,N216JB,1103,JFK,RDU,80,427,9,17
2013,1,1,920,15,1039,14,B6,N346JB,1305,JFK,IAD,52,228,9,20
2013,1,1,920,0,1152,27,MQ,N527MQ,4582,LGA,CLT,92,544,9,20
2013,1,1,921,21,1237,10,DL,N713TW,120,JFK,LAX,333,2475,9,21
2013,1,1,923,4,1026,-4,B6,N580JB,1004,JFK,BOS,38,187,9,23
2013,1,1,926,-3,1404,-17,B6,N775JB,215,EWR,SJU,191,1608,9,26
2013,1,1,926,4,1221,2,B6,N534JB,57,JFK,PBI,151,1028,9,26
2013,1,1,926,-2,1233,13,UA,N27733,1597,EWR,EGE,287,1726,9,26
2013,1,1,927,-3,1231,-26,DL,N951DL,1335,LGA,RSW,166,1080,9,27
2013,1,1,929,0,1028,-14,EV,N11551,4636,EWR,DCA,43,199,9,29
2013,1,1,929,4,1220,30,WN,N957WN,766,EWR,DEN,264,1605,9,29
2013,1,1,930,25,1218,9,UA,N57439,1148,EWR,TPA,149,997,9,30
2013,1,1,931,1,1237,-1,B6,N508JB,375,LGA,FLL,161,1076,9,31
2013,1,1,931,1,1121,13,UA,N479UA,255,LGA,ORD,154,733,9,31
2013,1,1,932,2,1219,-6,VX,N641VA,251,JFK,LAS,324,2248,9,32
2013,1,1,933,-4,1057,-5,B6,N503JB,4,JFK,BUF,66,301,9,33
2013,1,1,933,29,1252,42,B6,N579JB,17,JFK,FLL,170,1069,9,33
2013,1,1,933,-2,1120,15,WN,N487WN,3895,LGA,MDW,145,725,9,33
2013,1,1,936,-4,1235,-16,DL,N975DL,2137,LGA,TPA,159,1010,9,36
2013,1,1,936,-9,1257,-12,DL,N900DE,1903,LGA,SRQ,169,1047,9,36
2013,1,1,937,-3,1238,3,B6,N615JB,361,LGA,PBI,154,1035,9,37
2013,1,1,937,-3,1127,7,WN,N729SW,1807,LGA,MKE,143,738,9,37
2013,1,1,940,-5,1119,-11,AA,N4WJAA,319,LGA,ORD,133,733,9,40
